model_id,metric_family,metric_id,level,development,final,gap_final_minus_development,policy_changed
naive,point,wape,,0.1179313806994074,0.1068545529129435,-0.0110768277864638,False
naive,point,mae,,69.71273339455158,71.69949494949495,1.9867615549433708,False
naive,point,rmse,,116.9663375505438,119.12716728996786,2.1608297394240594,False
naive,point,mase,,1.068884949935798,1.1212568834621106,0.0523719335263126,False
seasonal_naive,point,wape,,0.1418494159522436,0.1397697711887405,-0.002079644763503,False
seasonal_naive,point,mae,,83.85139271502908,93.78563411896744,9.934241403938373,False
seasonal_naive,point,rmse,,147.69593710651506,173.38239075269462,25.68645364617956,False
seasonal_naive,point,mase,,1.3768956287092615,1.5616152031454231,0.1847195744361618,False
ets_aicc,point,wape,,0.1055272666861122,0.0915211380161353,-0.0140061286699768,False
ets_aicc,point,mae,,62.38029407198871,61.4107606468218,-0.969533425166908,False
ets_aicc,point,rmse,,108.56607674606585,105.00816653245744,-3.557910213608409,False
ets_aicc,point,mase,,0.9440191174673698,0.9622746543795906,0.0182555369122208,False
sarima_aicc,point,wape,,0.1094936095163833,0.0883505486690591,-0.0211430608473241,False
sarima_aicc,point,mae,,64.72491684023097,59.28329252608738,-5.441624314143596,False
sarima_aicc,point,rmse,,112.17899341101,101.151241710556,-11.02775170045399,False
sarima_aicc,point,mase,,1.012453872815391,0.9648813261259298,-0.047572546689461,False
lightgbm_global_full_v1,point,wape,,0.1066611001567875,0.0910615367499918,-0.0155995634067956,False
lightgbm_global_full_v1,point,mae,,63.05053663157068,61.102367810369735,-1.9481688212009445,False
lightgbm_global_full_v1,point,rmse,,108.75710624940182,103.14612930506236,-5.610976944339456,False
lightgbm_global_full_v1,point,mase,,0.966075799859857,0.987818671277078,0.0217428714172209,False
ets_aicc,interval,coverage,0.8,0.803992303992304,0.808641975308642,0.0046496713163379,False
ets_aicc,interval,mean_width,0.8,198.5712938958365,200.69142064841455,2.1201267525780736,False
ets_aicc,interval,winkler,0.8,284.1086624314686,286.85751304691394,2.748850615445349,False
ets_aicc,interval,upper_miss_rate,0.8,0.0976430976430976,0.1136363636363636,0.015993265993266,False
ets_aicc,interval,coverage,0.9,0.9052429052429052,0.8956228956228957,-0.0096200096200095,False
ets_aicc,interval,mean_width,0.9,265.8994118327004,269.87319522799174,3.9737833952913206,False
ets_aicc,interval,winkler,0.9,342.8032101197354,357.8576984652892,15.05448834555375,False
ets_aicc,interval,upper_miss_rate,0.9,0.0478595478595478,0.06341189674523,0.0155523488856822,False
ets_aicc,interval,coverage,0.95,0.9545454545454546,0.9450056116722784,-0.0095398428731762,False
ets_aicc,interval,mean_width,0.95,329.67248414484976,336.7370992652393,7.064615120389533,False
ets_aicc,interval,winkler,0.95,407.248267274828,434.6765391574608,27.428271882632828,False
ets_aicc,interval,upper_miss_rate,0.95,0.0238095238095238,0.0364758698092031,0.0126663459996793,False
lightgbm_global_full_v1,interval,coverage,0.8,0.7970177970177971,0.7988215488215489,0.0018037518037518,False
lightgbm_global_full_v1,interval,mean_width,0.8,201.13130530549432,203.4980256708401,2.3667203653457705,False
lightgbm_global_full_v1,interval,winkler,0.8,281.1904997190865,291.2293166649923,10.038816945905808,False
lightgbm_global_full_v1,interval,upper_miss_rate,0.8,0.1000481000481,0.1164421997755331,0.0163940997274331,False
lightgbm_global_full_v1,interval,coverage,0.9,0.9035594035594036,0.8908529741863075,-0.012706429373096,False
lightgbm_global_full_v1,interval,mean_width,0.9,263.56959642133336,268.8703046630948,5.300708241761413,False
lightgbm_global_full_v1,interval,winkler,0.9,342.56351729255044,362.7807324945102,20.21721520195973,False
lightgbm_global_full_v1,interval,upper_miss_rate,0.9,0.0531505531505531,0.0676206509539842,0.0144700978034311,False
lightgbm_global_full_v1,interval,coverage,0.95,0.9511784511784512,0.9464085297418632,-0.0047699214365881,False
lightgbm_global_full_v1,interval,mean_width,0.95,332.9199924692628,340.43480740863777,7.514814939374958,False
lightgbm_global_full_v1,interval,winkler,0.95,407.177092629089,445.7922037763382,38.61511114724925,False
lightgbm_global_full_v1,interval,upper_miss_rate,0.95,0.0266955266955266,0.0375982042648709,0.0109026775693443,False
