evaluation_set,model_id,role,metric_family,metric_id,level,value,support_n,series_n,aggregation
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,upper_miss_rate,0.8,0.1000481000481,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,coverage,0.9,0.9035594035594036,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,mean_width,0.9,263.56959642133336,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,winkler,0.9,342.56351729255044,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,upper_miss_rate,0.9,0.0531505531505531,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,coverage,0.95,0.9511784511784512,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,mean_width,0.95,332.9199924692628,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,winkler,0.95,407.177092629089,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,upper_miss_rate,0.95,0.0266955266955266,4158,198,raw
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,coverage,0.8,0.808641975308642,3564,198,raw
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,mean_width,0.8,200.69142064841455,3564,198,raw
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,winkler,0.8,286.85751304691394,3564,198,raw
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,upper_miss_rate,0.8,0.1136363636363636,3564,198,raw
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,coverage,0.9,0.8956228956228957,3564,198,raw
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,mean_width,0.9,269.87319522799174,3564,198,raw
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,winkler,0.9,357.8576984652892,3564,198,raw
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,upper_miss_rate,0.9,0.06341189674523,3564,198,raw
