model,val_roc_auc,val_average_precision,test_roc_auc,test_average_precision,selected_threshold,test_precision_at_selected,test_recall_at_selected,test_f1_at_selected
majority_baseline,0.5,0.14556962025316456,0.5,0.132890365448505,,0.0,0.0,0.0
logistic_regression,0.6005217391304347,0.19086588230848922,0.6052330127453279,0.17764871997303916,0.4114175304145893,0.1529709228824273,0.8642857142857143,0.25993555316863587
random_forest,0.6352173913043478,0.20877728130871487,0.5828074908124169,0.16622950762831584,0.3146719706676032,0.1579861111111111,0.65,0.2541899441340782
hist_gradient_boosting,0.6124927536231884,0.18738003129369582,0.5790034404566424,0.16206912164860293,0.14556050207850688,0.15522107243650046,0.5892857142857143,0.2457185405807893
